County,Number,Year
TALBOT,1227,2013
TALBOT,1066,2015
TALBOT,829,2017
TALBOT,787,2020
TALIAFERRO,289,2013
TALIAFERRO,220,2015
TALIAFERRO,213,2017
TALIAFERRO,203,2020
TATTNALL,4635,2013
TATTNALL,4995,2015
TATTNALL,4033,2017
TATTNALL,4737,2020
TAYLOR,1405,2013
TAYLOR,1107,2015
TAYLOR,1102,2017
TAYLOR,1233,2020
TELFAIR,3726,2013
TELFAIR,2819,2015
TELFAIR,2268,2017
TELFAIR,2833,2020
TERRELL,1483,2013
TERRELL,1125,2015
TERRELL,1057,2017
TERRELL,1236,2020
THOMAS,6983,2013
THOMAS,6443,2015
THOMAS,6632,2017
THOMAS,9161,2020
TIFT,8078,2013
TIFT,6565,2015
TIFT,8368,2017
TIFT,8184,2020
TOOMBS,4459,2013
TOOMBS,3967,2015
TOOMBS,4266,2017
TOOMBS,4620,2020
TOWNS,1872,2013
TOWNS,1765,2015
TOWNS,1677,2017
TOWNS,1934,2020
TREUTLEN,1252,2013
TREUTLEN,1060,2015
TREUTLEN,924,2017
TREUTLEN,1207,2020
TROUP,12419,2013
TROUP,10612,2015
TROUP,11982,2017
TROUP,13881,2020
TURNER,1307,2013
TURNER,1012,2015
TURNER,1073,2017
TURNER,994,2020
TWIGGS,1393,2013
TWIGGS,1189,2015
TWIGGS,1062,2017
TWIGGS,1173,2020
UNION,3853,2013
UNION,3856,2015
UNION,3640,2017
UNION,4587,2020
UPSON,5043,2013
UPSON,3707,2015
UPSON,3856,2017
UPSON,5059,2020
WALKER,14812,2013
WALKER,13664,2015
WALKER,14077,2017
WALKER,13704,2020
WALTON,13613,2013
WALTON,13729,2015
WALTON,18280,2017
WALTON,13628,2020
WARE,6753,2013
WARE,5385,2015
WARE,5767,2017
WARE,7551,2020
WARREN,996,2013
WARREN,729,2015
WARREN,692,2017
WARREN,780,2020
WASHINGTON,4021,2013
WASHINGTON,2847,2015
WASHINGTON,2813,2017
WASHINGTON,3327,2020
WAYNE,6059,2013
WAYNE,4275,2015
WAYNE,3828,2017
WAYNE,5825,2020
WEBSTER,438,2013
WEBSTER,349,2015
WEBSTER,322,2017
WEBSTER,321,2020
WHEELER,1553,2013
WHEELER,1155,2015
WHEELER,969,2017
WHEELER,1386,2020
WHITE,4705,2013
WHITE,3806,2015
WHITE,3483,2017
WHITE,4826,2020
WHITFIELD,20114,2013
WHITFIELD,18457,2015
WHITFIELD,20150,2017
WHITFIELD,21135,2020
WILCOX,1573,2013
WILCOX,1268,2015
WILCOX,1212,2017
WILCOX,1323,2020
WILKES,1557,2013
WILKES,1453,2015
WILKES,1413,2017
WILKES,1758,2020
WILKINSON,1474,2013
WILKINSON,1245,2015
WILKINSON,1086,2017
WILKINSON,1204,2020
WORTH,4102,2013
WORTH,3510,2015
WORTH,2681,2017
WORTH,4086,2020
